park,lat,lng,state,visits,url
Channel Islands,34.01,-119.42,CA,366250,https://www.nps.gov/chis/index.htm
Death Valley,36.24,-116.82,CA,1678660,https://www.nps.gov/deva/index.htm
Joshua Tree,33.79,-115.9,CA,2942382,https://www.nps.gov/jotr/index.htm
Kings Canyon,36.8,-118.55,CA,699023,https://www.nps.gov/seki/index.htm
Lassen Volcanic,40.49,-121.51,CA,499435,https://www.nps.gov/lavo/index.htm
Redwood,41.3,-124,CA,482536,https://www.nps.gov/redw/index.htm
Sequoia,36.43,-118.68,CA,1229594,https://www.nps.gov/seki/index.htm
Yosemite,37.83,-119.5,CA,4009436,https://www.nps.gov/yose/index.htm
Crater Lake,42.94,-122.1,OR,720659,https://www.nps.gov/crla/index.htm
Mount Rainier,46.85,-121.75,WA,1518491,https://www.nps.gov/mora/index.htm
North Cascades,48.7,-121.2,WA,30085,https://www.nps.gov/noca/index.htm
Olympic,47.97,-123.5,WA,3104455,https://www.nps.gov/olym/index.htm
